tensor(3.0127, grad_fn=<NllLoss2DBackward>)
tensor(3.1192, grad_fn=<NllLoss2DBackward>)
tensor(3.4271, grad_fn=<NllLoss2DBackward>)
tensor(3.1697, grad_fn=<NllLoss2DBackward>)
tensor(3.2992, grad_fn=<NllLoss2DBackward>)
tensor(3.4457, grad_fn=<NllLoss2DBackward>)
tensor(3.1093, grad_fn=<NllLoss2DBackward>)
tensor(3.3661, grad_fn=<NllLoss2DBackward>)
tensor(3.5657, grad_fn=<NllLoss2DBackward>)
tensor(3.2407, grad_fn=<NllLoss2DBackward>)
tensor(3.7323, grad_fn=<NllLoss2DBackward>)
tensor(3.1103, grad_fn=<NllLoss2DBackward>)
tensor(2.8828, grad_fn=<NllLoss2DBackward>)
tensor(3.2819, grad_fn=<NllLoss2DBackward>)
tensor(2.7076, grad_fn=<NllLoss2DBackward>)
tensor(3.0884, grad_fn=<NllLoss2DBackward>)
tensor(3.7157, grad_fn=<NllLoss2DBackward>)
tensor(3.2873, grad_fn=<NllLoss2DBackward>)
tensor(2.8206, grad_fn=<NllLoss2DBackward>)
tensor(3.8545, grad_fn=<NllLoss2DBackward>)
tensor(3.5349, grad_fn=<NllLoss2DBackward>)
tensor(2.9473, grad_fn=<NllLoss2DBackward>)
tensor(3.4887, grad_fn=<NllLoss2DBackward>)
tensor(2.9243, grad_fn=<NllLoss2DBackward>)
tensor(3.3811, grad_fn=<NllLoss2DBackward>)
tensor(3.1700, grad_fn=<NllLoss2DBackward>)
tensor(3.1457, grad_fn=<NllLoss2DBackward>)
tensor(3.5241, grad_fn=<NllLoss2DBackward>)
tensor(3.6151, grad_fn=<NllLoss2DBackward>)
tensor(3.4092, grad_fn=<NllLoss2DBackward>)
tensor(3.9508, grad_fn=<NllLoss2DBackward>)
tensor(3.1924, grad_fn=<NllLoss2DBackward>)
tensor(3.4536, grad_fn=<NllLoss2DBackward>)
tensor(3.8267, grad_fn=<NllLoss2DBackward>)
tensor(3.7924, grad_fn=<NllLoss2DBackward>)
tensor(3.3635, grad_fn=<NllLoss2DBackward>)
tensor(3.4173, grad_fn=<NllLoss2DBackward>)
tensor(3.2990, grad_fn=<NllLoss2DBackward>)
tensor(3.1902, grad_fn=<NllLoss2DBackward>)
tensor(3.1760, grad_fn=<NllLoss2DBackward>)
tensor(3.0786, grad_fn=<NllLoss2DBackward>)
tensor(3.3507, grad_fn=<NllLoss2DBackward>)
tensor(3.0694, grad_fn=<NllLoss2DBackward>)
tensor(3.5597, grad_fn=<NllLoss2DBackward>)
tensor(3.3469, grad_fn=<NllLoss2DBackward>)
tensor(2.8745, grad_fn=<NllLoss2DBackward>)
tensor(2.7396, grad_fn=<NllLoss2DBackward>)
tensor(3.5089, grad_fn=<NllLoss2DBackward>)
tensor(3.7408, grad_fn=<NllLoss2DBackward>)
tensor(3.2413, grad_fn=<NllLoss2DBackward>)
tensor(3.1007, grad_fn=<NllLoss2DBackward>)
tensor(3.0494, grad_fn=<NllLoss2DBackward>)
tensor(3.9681, grad_fn=<NllLoss2DBackward>)
tensor(2.9731, grad_fn=<NllLoss2DBackward>)
tensor(3.0548, grad_fn=<NllLoss2DBackward>)
tensor(3.4233, grad_fn=<NllLoss2DBackward>)
tensor(4.2365, grad_fn=<NllLoss2DBackward>)
tensor(3.6234, grad_fn=<NllLoss2DBackward>)
tensor(2.8179, grad_fn=<NllLoss2DBackward>)
tensor(3.4305, grad_fn=<NllLoss2DBackward>)
tensor(3.3016, grad_fn=<NllLoss2DBackward>)
tensor(3.3660, grad_fn=<NllLoss2DBackward>)
tensor(3.6804, grad_fn=<NllLoss2DBackward>)
tensor(2.9831, grad_fn=<NllLoss2DBackward>)
tensor(3.2967, grad_fn=<NllLoss2DBackward>)
tensor(3.9266, grad_fn=<NllLoss2DBackward>)
tensor(3.1495, grad_fn=<NllLoss2DBackward>)
tensor(3.0742, grad_fn=<NllLoss2DBackward>)
tensor(3.1191, grad_fn=<NllLoss2DBackward>)
tensor(2.7794, grad_fn=<NllLoss2DBackward>)
tensor(2.7789, grad_fn=<NllLoss2DBackward>)
tensor(4.0247, grad_fn=<NllLoss2DBackward>)
tensor(2.9436, grad_fn=<NllLoss2DBackward>)
tensor(3.1673, grad_fn=<NllLoss2DBackward>)
tensor(3.0976, grad_fn=<NllLoss2DBackward>)
