tensor(0.0654, grad_fn=<MeanBackward0>)
tensor(0.0663, grad_fn=<MeanBackward0>)
tensor(0.0593, grad_fn=<MeanBackward0>)
tensor(0.1046, grad_fn=<MeanBackward0>)
tensor(0.0601, grad_fn=<MeanBackward0>)
tensor(0.0566, grad_fn=<MeanBackward0>)
tensor(0.0585, grad_fn=<MeanBackward0>)
tensor(0.0674, grad_fn=<MeanBackward0>)
tensor(0.0614, grad_fn=<MeanBackward0>)
tensor(0.0606, grad_fn=<MeanBackward0>)
tensor(0.0578, grad_fn=<MeanBackward0>)
tensor(0.0734, grad_fn=<MeanBackward0>)
tensor(0.0732, grad_fn=<MeanBackward0>)
tensor(0.0487, grad_fn=<MeanBackward0>)
tensor(0.0646, grad_fn=<MeanBackward0>)
tensor(0.0740, grad_fn=<MeanBackward0>)
tensor(0.0584, grad_fn=<MeanBackward0>)
tensor(0.0707, grad_fn=<MeanBackward0>)
tensor(0.0741, grad_fn=<MeanBackward0>)
tensor(0.0658, grad_fn=<MeanBackward0>)
tensor(0.0653, grad_fn=<MeanBackward0>)
tensor(0.0700, grad_fn=<MeanBackward0>)
tensor(0.0679, grad_fn=<MeanBackward0>)
tensor(0.0640, grad_fn=<MeanBackward0>)
tensor(0.0619, grad_fn=<MeanBackward0>)
tensor(0.0562, grad_fn=<MeanBackward0>)
tensor(0.0502, grad_fn=<MeanBackward0>)
tensor(0.0677, grad_fn=<MeanBackward0>)
tensor(0.0731, grad_fn=<MeanBackward0>)
tensor(0.0575, grad_fn=<MeanBackward0>)
tensor(0.0648, grad_fn=<MeanBackward0>)
tensor(0.0557, grad_fn=<MeanBackward0>)
tensor(0.0534, grad_fn=<MeanBackward0>)
tensor(0.0518, grad_fn=<MeanBackward0>)
tensor(0.0682, grad_fn=<MeanBackward0>)
tensor(0.0646, grad_fn=<MeanBackward0>)
tensor(0.0563, grad_fn=<MeanBackward0>)
tensor(0.0518, grad_fn=<MeanBackward0>)
tensor(0.0512, grad_fn=<MeanBackward0>)
tensor(0.0720, grad_fn=<MeanBackward0>)
tensor(0.0623, grad_fn=<MeanBackward0>)
tensor(0.0568, grad_fn=<MeanBackward0>)
tensor(0.0559, grad_fn=<MeanBackward0>)
tensor(0.0658, grad_fn=<MeanBackward0>)
tensor(0.0730, grad_fn=<MeanBackward0>)
tensor(0.0571, grad_fn=<MeanBackward0>)
